,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
EN,2146,2145,2212,2173,2067,2067,2067,2067,2067,2036,1947,1918,1904,1897,1894,1889,1824,1821,1845,1926,1992,1987,2013,1986,2016,1998,1926,1973,1940,1989,1989,1989,1989,1989,1989,1929,1965,1993,2069,2031,1991,1963,2009,2004,1997,1964,1999,2001,1946,1905,1945,1918,1927,1944,1915,1944,2088,2073,2058,2087,2039,2042,2010,1979,1975,1977,1962,1931,2001,2050,2000,1899,2019,2000,1970,1936,1979,2015,1885,1945,1991,1989,1947,1878,1895,1870,1957,2002,1945,1907,1852,1932,1951,1955,1977,1964,1961,1909,1987,1985,1924,1955,1952,1933,1924,1960,1929,1933,1960,1956,1962,2032,1967,2015,2000
DK,2017,2009,2033,2051,2069,2074,2044,2041,2019,1974,1935,1926,1868,1873,1850,1863,1865,1877,1873,1817,1839,1761,1748,1761,1686,1682,1723,1735,1692,1706,1701,1718,1689,1698,1698,1704,1743,1726,1802,1799,1759,1756,1678,1716,1655,1658,1622,1571,1590,1633,1697,1681,1713,1674,1627,1614,1547,1625,1626,1656,1578,1620,1667,1659,1628,1593,1640,1642,1638,1662,1654,1755,1731,1824,1889,1930,1935,1908,1822,1907,1866,1885,1913,1932,1905,1972,1971,1931,1820,1909,1777,1848,1896,1885,1859,1888,1902,1822,1828,1810,1732,1831,1776,1747,1755,1727,1716,1841,1898,1891,1927,1937,1883,1825,1826
AR,1956,1952,1939,1957,1948,1953,1981,1987,1998,1940,1945,1971,1899,1897,1953,1991,1959,2010,2050,2084,2062,2052,2052,2065,2021,2006,2008,2054,2070,2072,2073,2103,2090,2070,2070,2034,2082,2100,2079,2079,2077,2069,2080,2086,2068,2116,2097,2060,1920,1972,2014,1973,1957,1932,1970,1993,1981,1946,1893,1814,1838,1872,1878,1892,1858,1873,1921,1906,2039,1974,1999,2006,1941,1916,1908,1879,2040,1906,1851,1803,1875,1983,2028,1927,1884,1846,1797,1831,1930,1935,2002,2021,1994,2017,2028,1932,1980,2012,1973,1896,1992,1915,2014,2020,2050,2023,2045,1984,1914,1967,1991,2101,2143,2138,2139
UY,1935,1939,1952,1936,1933,1928,1904,1956,1945,1988,2044,1999,2006,2006,2035,1972,2038,2018,2056,1963,2037,2011,1988,1975,1967,2010,2011,1863,1847,1855,1905,1932,1988,1992,1954,1860,1828,1823,1872,1722,1874,1874,1857,1885,1940,1891,1933,1907,1912,1939,1939,1921,1857,1869,1862,1849,1846,1897,1846,1862,1854,1809,1783,1764,1698,1700,1669,1656,1679,1653,1736,1790,1794,1857,1892,1861,1777,1854,1852,1874,1846,1841,1849,1796,1805,1839,1769,1755,1758,1733,1754,1787,1788,1862,1820,1821,1822,1796,1831,1813,1892,1993,1856,1919,1908,1947,1914,1866,1923,1966,1953,1847,1905,2007,1992
NL,1915,1932,1967,1948,1952,1952,1952,1952,1952,1920,1845,1863,1822,1828,1792,1820,1765,1775,1725,1676,1623,1656,1678,1658,1686,1712,1725,1712,1680,1695,1657,1657,1657,1657,1657,1657,1666,1686,1700,1704,1627,1606,1588,1572,1551,1607,1657,1667,1728,1718,1713,1683,1675,1634,1679,1643,1690,1692,1684,1711,1738,1763,1820,1833,2091,2043,2031,2077,2068,2041,1919,1912,1883,1884,1849,1873,1882,1938,2047,2048,1949,1964,1968,1995,1958,1917,1962,1941,1995,1957,1999,1996,2051,1991,1940,1994,1991,1948,2028,2032,2105,2068,1997,2004,2030,1898,1889,1895,1985,2017,1994,1929,2073,1970,1968
HU,1886,1889,1960,1983,1972,1949,1926,1971,2003,1989,1955,1943,1918,1926,1844,1802,1833,1812,1812,1829,1814,1847,1822,1805,1881,1881,1895,1953,1940,1870,1885,1869,1856,1855,1855,1886,1892,1928,1920,1939,1936,1947,2085,2126,2192,2213,2137,2078,1968,1982,1960,1951,1983,1960,1970,1981,1956,1985,1978,1930,1925,1951,1939,1897,1863,1829,1874,1903,1772,1779,1775,1808,1817,1749,1826,1871,1780,1791,1756,1737,1758,1721,1714,1647,1609,1605,1621,1594,1671,1619,1670,1601,1593,1528,1608,1596,1585,1572,1622,1611,1641,1676,1691,1681,1658,1700,1691,1612,1611,1619,1745,1726,1825,1834,1828
HA,1867,1867,1867,1867,1867,1867,1867,1867,1867,1867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT,1848,1857,1832,1817,1829,1852,1875,1818,1790,1804,1826,1848,1847,1807,1844,1868,1914,1898,1924,1955,1931,1981,2015,1997,1956,1891,1899,1901,1910,1922,1922,1922,1922,1922,1922,1899,1847,1865,1804,1824,1888,1904,1871,1858,1946,1929,1888,1888,1819,1824,1846,1910,1849,1799,1815,1772,1745,1708,1683,1737,1723,1794,1825,1804,1843,1798,1815,1874,1892,1937,1931,1895,1910,1818,1799,1751,1764,1752,1732,1722,1677,1616,1643,1645,1605,1654,1731,1749,1730,1709,1722,1674,1683,1676,1648,1668,1629,1598,1566,1588,1604,1578,1603,1663,1715,1802,1686,1710,1765,1741,1786,1731,1751,1835,1862
SQ,1832,1847,1873,1867,1886,1886,1886,1886,1886,1882,1871,1929,1933,1943,1911,1984,2015,1984,1992,2046,1999,1997,1930,1889,1857,1937,1934,1948,2015,1986,1986,1986,1986,1986,1986,2001,1961,1876,1870,1967,1963,1962,1933,1926,1802,1819,1842,1846,1806,1841,1793,1861,1903,1908,1907,1859,1808,1838,1865,1824,1845,1755,1838,1807,1879,1898,1935,2000,1888,1791,1795,1847,1830,1836,1886,1864,1816,1798,1797,1768,1777,1756,1791,1767,1761,1783,1812,1791,1712,1727,1745,1734,1693,1680,1604,1682,1738,1761,1722,1671,1658,1704,1656,1699,1724,1700,1671,1721,1722,1641,1660,1729,1752,1801,1776
BE,1796,1779,1762,1800,1760,1760,1773,1782,1782,1775,1931,1885,1873,1888,1773,1764,1723,1683,1645,1636,1593,1602,1594,1587,1529,1534,1531,1540,1541,1515,1534,1534,1534,1534,1528,1515,1523,1514,1551,1634,1687,1672,1704,1752,1780,1728,1675,1679,1646,1629,1598,1650,1667,1729,1721,1760,1764,1714,1790,1785,1744,1810,1859,1880,1905,1889,1877,1796,1793,1897,1953,1917,1901,1900,1801,1844,1803,1778,1804,1853,1817,1820,1875,1827,1767,1778,1757,1799,1816,1794,1786,1835,1785,1804,1725,1699,1674,1642,1633,1587,1620,1683,1786,1835,1898,1928,1905,1927,2035,2084,2111,2075,1948,1990,1987
